id,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,title,release_date,developer,genres,multiplayer_or_singleplayer,price,dc_price,overall_review,detailed_review,reviews,percent_positive,win_support,mac_support,lin_support
1,Wii Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,Dota 2,2013-07-09,Valve,Action;Free to Play;Strategy,Multi-player,0.0,0.0,Positive,Very Positive,1885261.0,82,1,1,1
7,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,Dead by Daylight,2016-06-14,Behaviour Digital Inc.,Action,Multi-player,749.0,749.0,Positive,Very Positive,453698.0,81,1,0,0
8,Wii Play,Wii,2006,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,Warframe,2013-03-25,Digital Extremes,Action;Free to Play,Single-player,0.0,0.0,Positive,Very Positive,512887.0,87,1,0,0
9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,War Thunder,2013-08-15,Gaijin Entertainment,Action;Free to Play;Massively Multiplayer;Simulation,Single-player,0.0,0.0,Positive,Mixed,28437.0,48,1,1,1
11,Nintendogs,DS,2005,Simulation,Nintendo,9.07,11.0,1.9300000000000002,2.75,24.76,Grand Theft Auto V,2015-04-13,Rockstar North,Action;Adventure,Single-player,0.0,0.0,Positive,Mostly Positive,349924.0,78,1,0,0
14,Wii Fit,Wii,2007,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,The Elder Scrolls® Online,2017-05-22,Zenimax Online Studios,Massively Multiplayer;RPG,MMO;Steam Trading Cards;Partial Controller Support,1599.0,1599.0,Positive,Very Positive,443174.0,91,1,1,0
16,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,RimWorld,2018-10-17,Ludeon Studios,Indie;Simulation;Strategy,Single-player,1099.0,1099.0,Positive,Very Positive,104886.0,83,1,1,1
17,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,Rust,2018-02-08,Facepunch Studios,Action;Adventure;Indie;Massively Multiplayer;RPG,Multi-player,1799.0,1799.0,Positive,Overwhelmingly Positive,125211.0,98,1,1,0
18,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41000000000000003,10.57,20.81,Euro Truck Simulator 2,2012-10-12,SCS Software,Indie;Simulation,Single-player,925.0,925.0,Positive,Mixed,209179.0,69,1,1,1
23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,Tom Clancy's Rainbow Six® Siege,2015-12-01,Ubisoft Montreal,Action,Single-player,999.0,399.0,Positive,Overwhelmingly Positive,430129.0,97,1,0,0
